dsID,region,indID,period,value,is_number,source
fts,ALA,FY040,2014,0.0,1,""
fts,ALA,FA010,2014,0.0,1,""
fts,ALA,FA140,2014,0.0,1,""
fts,ALA,FY010,2015,0.0,1,""
fts,ALA,FY020,2015,0.0,1,""
fts,ALA,FY040,2015,0.0,1,""
fts,ALA,FA010,2015,0.0,1,""
fts,ALA,FA140,2015,0.0,1,""
fts,ALA,FY190,1999,0.0,1,""
fts,ALA,FY200,1999,0.0,1,""
fts,ALA,FY210,1999,0.0,1,""
fts,ALA,FY190,2000,0.0,1,""
fts,ALA,FY200,2000,0.0,1,""
fts,ALA,FY210,2000,0.0,1,""
fts,ALA,FY190,2001,0.0,1,""
fts,ALA,FY200,2001,0.0,1,""
fts,ALA,FY210,2001,0.0,1,""
fts,ALA,FY190,2002,0.0,1,""
fts,ALA,FY200,2002,0.0,1,""
fts,ALA,FY210,2002,0.0,1,""
fts,ALA,FY190,2003,0.0,1,""
fts,ALA,FY200,2003,0.0,1,""
fts,ALA,FY210,2003,0.0,1,""
fts,ALA,FY190,2004,0.0,1,""
fts,ALA,FY200,2004,0.0,1,""
fts,ALA,FY210,2004,0.0,1,""
fts,ALA,FY190,2005,0.0,1,""
fts,ALA,FY200,2005,0.0,1,""
fts,ALA,FY210,2005,0.0,1,""
fts,ALA,FY190,2006,0.0,1,""
fts,ALA,FY200,2006,0.0,1,""
fts,ALA,FY210,2006,0.0,1,""
fts,ALA,FY190,2007,0.0,1,""
fts,ALA,FY200,2007,0.0,1,""
fts,ALA,FY210,2007,0.0,1,""
fts,ALA,FY190,2008,0.0,1,""
fts,ALA,FY200,2008,0.0,1,""
fts,ALA,FY210,2008,0.0,1,""
fts,ALA,FY190,2009,0.0,1,""
fts,ALA,FY200,2009,0.0,1,""
fts,ALA,FY210,2009,0.0,1,""
fts,ALA,FY190,2010,0.0,1,""
fts,ALA,FY200,2010,0.0,1,""
fts,ALA,FY210,2010,0.0,1,""
fts,ALA,FY190,2011,0.0,1,""
fts,ALA,FY200,2011,0.0,1,""
fts,ALA,FY210,2011,0.0,1,""
fts,ALA,FY190,2012,0.0,1,""
fts,ALA,FY200,2012,0.0,1,""
fts,ALA,FY210,2012,0.0,1,""
fts,ALA,FY190,2013,0.0,1,""
fts,ALA,FY200,2013,0.0,1,""
fts,ALA,FY210,2013,0.0,1,""
fts,ALA,FY190,2014,0.0,1,""
fts,ALA,FY200,2014,0.0,1,""
fts,ALA,FY210,2014,0.0,1,""
fts,ALA,FY190,2015,0.0,1,""
fts,ALA,FY200,2015,0.0,1,""
fts,ALA,FY210,2015,0.0,1,""
fts,ALA,FY240,1999,0.0,1,""
fts,ALA,FY360,1999,0.0,1,""
fts,ALA,FY370,1999,0.0,1,""
fts,ALA,FY380,1999,0.0,1,""
fts,ALA,FY500,1999,0.0,1,""
fts,ALA,FY510,1999,0.0,1,""
fts,ALA,FY520,1999,0.0,1,""
fts,ALA,FY540,1999,0.0,1,""
fts,ALA,FY550,1999,0.0,1,""
fts,ALA,FY620,1999,0.0,1,""
fts,ALA,FY630,1999,0.0,1,""
fts,ALA,FY240,2000,0.0,1,""
fts,ALA,FY360,2000,0.0,1,""
fts,ALA,FY370,2000,0.0,1,""
fts,ALA,FY380,2000,0.0,1,""
fts,ALA,FY500,2000,0.0,1,""
fts,ALA,FY510,2000,0.0,1,""
fts,ALA,FY520,2000,0.0,1,""
fts,ALA,FY540,2000,0.0,1,""
fts,ALA,FY550,2000,0.0,1,""
fts,ALA,FY620,2000,0.0,1,""
fts,ALA,FY630,2000,0.0,1,""
fts,ALA,FY240,2001,0.0,1,""
fts,ALA,FY360,2001,0.0,1,""
fts,ALA,FY370,2001,0.0,1,""
fts,ALA,FY380,2001,0.0,1,""
fts,ALA,FY500,2001,0.0,1,""
fts,ALA,FY510,2001,0.0,1,""
fts,ALA,FY520,2001,0.0,1,""
fts,ALA,FY540,2001,0.0,1,""
fts,ALA,FY550,2001,0.0,1,""
fts,ALA,FY620,2001,0.0,1,""
fts,ALA,FY630,2001,0.0,1,""
fts,ALA,FY240,2002,0.0,1,""
fts,ALA,FY360,2002,0.0,1,""
fts,ALA,FY370,2002,0.0,1,""
fts,ALA,FY380,2002,0.0,1,""
fts,ALA,FY500,2002,0.0,1,""
fts,ALA,FY510,2002,0.0,1,""
fts,ALA,FY520,2002,0.0,1,""
fts,ALA,FY540,2002,0.0,1,""
fts,ALA,FY550,2002,0.0,1,""
fts,ALA,FY620,2002,0.0,1,""
fts,ALA,FY630,2002,0.0,1,""
fts,ALA,FY240,2003,0.0,1,""
fts,ALA,FY360,2003,0.0,1,""
