Indicator,Country,Date,value
Case fatality rate (CFR) of suspected Ebola cases,Nigeria,2014-08-29,0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Nigeria,2014-08-29,37
Cumulative number of confirmed Ebola cases,Guinea,2014-09-05,604
Cumulative number of probable Ebola cases,Guinea,2014-09-05,152
Cumulative number of suspected Ebola cases,Guinea,2014-09-05,56
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-05,812
Cumulative number of confirmed Ebola cases,Liberia,2014-09-05,614
Cumulative number of probable Ebola cases,Liberia,2014-09-05,888
Cumulative number of suspected Ebola cases,Liberia,2014-09-05,369
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-09-05,1871
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-09-05,1146
Cumulative number of probable Ebola cases,Sierra Leone,2014-09-05,37
Cumulative number of suspected Ebola cases,Sierra Leone,2014-09-05,78
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-09-05,1261
Cumulative number of confirmed Ebola cases,Nigeria,2014-09-05,18
Cumulative number of probable Ebola cases,Nigeria,2014-09-05,1
Cumulative number of suspected Ebola cases,Nigeria,2014-09-05,3
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-09-05,22
Cumulative number of confirmed Ebola cases,Senegal,2014-09-05,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-09-05,1
Number of confirmed Ebola cases in the last 21 days,Guinea,2014-09-05,226
Number of probable Ebola cases in the last 21 days,Guinea,2014-09-05,19
Number of suspected Ebola cases in the last 21 days,Guinea,2014-09-05,44
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-09-05,289
Number of confirmed Ebola cases in the last 21 days,Liberia,2014-09-05,414
Number of probable Ebola cases in the last 21 days,Liberia,2014-09-05,444
Number of suspected Ebola cases in the last 21 days,Liberia,2014-09-05,179
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-09-05,1037
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2014-09-05,396
Number of probable Ebola cases in the last 21 days,Sierra Leone,2014-09-05,0
Number of suspected Ebola cases in the last 21 days,Sierra Leone,2014-09-05,37
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2014-09-05,433
Number of confirmed Ebola cases in the last 21 days,Nigeria,2014-09-05,7
Number of probable Ebola cases in the last 21 days,Nigeria,2014-09-05,0
Number of suspected Ebola cases in the last 21 days,Nigeria,2014-09-05,2
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Nigeria,2014-09-05,9
Number of confirmed Ebola cases in the last 21 days,Senegal,2014-09-05,1
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Senegal,2014-09-05,1
Proportion of confirmed Ebola cases that are from the last 21 days,Guinea,2014-09-05,37
Proportion of probable Ebola cases that are from the last 21 days,Guinea,2014-09-05,13
Proportion of suspected Ebola cases that are from the last 21 days,Guinea,2014-09-05,79
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Guinea,2014-09-05,36
Proportion of confirmed Ebola cases that are from the last 21 days,Liberia,2014-09-05,67
Proportion of probable Ebola cases that are from the last 21 days,Liberia,2014-09-05,50
Proportion of suspected Ebola cases that are from the last 21 days,Liberia,2014-09-05,49
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Liberia,2014-09-05,55
Proportion of confirmed Ebola cases that are from the last 21 days,Sierra Leone,2014-09-05,35
Proportion of probable Ebola cases that are from the last 21 days,Sierra Leone,2014-09-05,0
Proportion of suspected Ebola cases that are from the last 21 days,Sierra Leone,2014-09-05,47
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Sierra Leone,2014-09-05,34
Proportion of confirmed Ebola cases that are from the last 21 days,Nigeria,2014-09-05,39
Proportion of probable Ebola cases that are from the last 21 days,Nigeria,2014-09-05,0
Proportion of suspected Ebola cases that are from the last 21 days,Nigeria,2014-09-05,67
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Nigeria,2014-09-05,41
Proportion of probable Ebola cases that are from the last 21 days,Senegal,2014-09-05,100
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 21 days",Senegal,2014-09-05,100
Cumulative number of confirmed Ebola deaths,Guinea,2014-09-05,362
Cumulative number of probable Ebola deaths,Guinea,2014-09-05,152
Cumulative number of suspected Ebola deaths,Guinea,2014-09-05,3
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-09-05,517
Cumulative number of confirmed Ebola deaths,Liberia,2014-09-05,431
Cumulative number of probable Ebola deaths,Liberia,2014-09-05,401
Cumulative number of suspected Ebola deaths,Liberia,2014-09-05,257
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-09-05,1089
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-09-05,443
Cumulative number of probable Ebola deaths,Sierra Leone,2014-09-05,37
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-09-05,11
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-09-05,491
Cumulative number of confirmed Ebola deaths,Nigeria,2014-09-05,7
Cumulative number of probable Ebola deaths,Nigeria,2014-09-05,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-09-05,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-09-05,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-09-05,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-09-05,0
Number of confirmed Ebola deaths in the last 21 days,Guinea,2014-09-05,117
Number of probable Ebola deaths in the last 21 days,Guinea,2014-09-05,19
Number of suspected Ebola deaths in the last 21 days,Guinea,2014-09-05,1
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Guinea,2014-09-05,137
Number of confirmed Ebola deaths in the last 21 days,Liberia,2014-09-05,253
Number of probable Ebola deaths in the last 21 days,Liberia,2014-09-05,199
Number of suspected Ebola deaths in the last 21 days,Liberia,2014-09-05,171
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Liberia,2014-09-05,623
Number of confirmed Ebola deaths in the last 21 days,Sierra Leone,2014-09-05,127
Number of probable Ebola deaths in the last 21 days,Sierra Leone,2014-09-05,3
Number of suspected Ebola deaths in the last 21 days,Sierra Leone,2014-09-05,6
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Sierra Leone,2014-09-05,136
Number of confirmed Ebola deaths in the last 21 days,Nigeria,2014-09-05,3
Number of probable Ebola deaths in the last 21 days,Nigeria,2014-09-05,1
Number of suspected Ebola deaths in the last 21 days,Nigeria,2014-09-05,0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Nigeria,2014-09-05,4
Number of confirmed Ebola deaths in the last 21 days,Senegal,2014-09-05,0
"Number of confirmed, probable and suspected Ebola deaths in the last 21 days",Senegal,2014-09-05,0
Proportion of confirmed Ebola deaths that are from the last 21 days,Guinea,2014-09-05,32
Proportion of probable Ebola deaths that are from the last 21 days,Guinea,2014-09-05,13
Proportion of suspected Ebola deaths that are from the last 21 days,Guinea,2014-09-05,33
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Guinea,2014-09-05,26
Proportion of confirmed Ebola deaths that are from the last 21 days,Liberia,2014-09-05,59
Proportion of probable Ebola deaths that are from the last 21 days,Liberia,2014-09-05,50
Proportion of suspected Ebola deaths that are from the last 21 days,Liberia,2014-09-05,67
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Liberia,2014-09-05,57
Proportion of confirmed Ebola deaths that are from the last 21 days,Sierra Leone,2014-09-05,29
Proportion of probable Ebola deaths that are from the last 21 days,Sierra Leone,2014-09-05,8
Proportion of suspected Ebola deaths that are from the last 21 days,Sierra Leone,2014-09-05,55
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Sierra Leone,2014-09-05,28
Proportion of confirmed Ebola deaths that are from the last 21 days,Nigeria,2014-09-05,43
Proportion of probable Ebola deaths that are from the last 21 days,Nigeria,2014-09-05,100
Proportion of suspected Ebola deaths that are from the last 21 days,Nigeria,2014-09-05,0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Nigeria,2014-09-05,50
Proportion of confirmed Ebola deaths that are from the last 21 days,Senegal,2014-09-05,0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Senegal,2014-09-05,0
Case fatality rate (CFR) of confirmed Ebola cases,Guinea,2014-09-05,60
Case fatality rate (CFR) of probable Ebola cases,Guinea,2014-09-05,100
Case fatality rate (CFR) of suspected Ebola cases,Guinea,2014-09-05,5
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Guinea,2014-09-05,64
Case fatality rate (CFR) of confirmed Ebola cases,Liberia,2014-09-05,70
Case fatality rate (CFR) of probable Ebola cases,Liberia,2014-09-05,45
Case fatality rate (CFR) of suspected Ebola cases,Liberia,2014-09-05,70
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Liberia,2014-09-05,58
Case fatality rate (CFR) of confirmed Ebola cases,Sierra Leone,2014-09-05,39
Case fatality rate (CFR) of probable Ebola cases,Sierra Leone,2014-09-05,100
Case fatality rate (CFR) of suspected Ebola cases,Sierra Leone,2014-09-05,14
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-09-05,39
Case fatality rate (CFR) of confirmed Ebola cases,Nigeria,2014-09-05,39
Case fatality rate (CFR) of probable Ebola cases,Nigeria,2014-09-05,100
Case fatality rate (CFR) of suspected Ebola cases,Nigeria,2014-09-05,0
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Nigeria,2014-09-05,36
Case fatality rate (CFR) of confirmed Ebola cases,Senegal,2014-09-05,0
